Frame,Fish_ID,X_center,Y_center
1,1,1683.949,823.8257
1,2,834.04944,289.51056
1,3,1752.742,438.78473
1,4,1544.8704,333.9696
1,5,1857.7423,438.10916
1,6,397.64148,1035.4053
1,7,654.9912,245.38916
1,8,1817.2715,99.07776
1,9,252.09631,148.69344
2,1,1653.5516,824.0113
2,3,1744.2653,423.13663
2,5,1854.97,443.93155
2,6,384.92648,1020.6255
2,9,245.67381,130.91518
3,1,1683.9336,818.3821
3,10,975.9437,117.00696
3,11,1711.2023,164.62079
3,14,1091.5479,81.4657
3,2,825.7355,298.19666
4,1,1697.9453,813.579
4,14,1076.4734,75.30381
4,4,1533.2391,341.58072
4,3,1740.7488,417.0578
4,5,1842.1416,466.0938
4,9,243.6535,146.23305
5,1,1687.5884,812.03516
5,14,1069.9514,76.03162
5,22,1723.1187,263.32254
5,25,1797.6184,960.98975
5,4,1533.9656,340.74658
5,5,1841.164,475.50128
5,9,252.92332,154.34778
6,22,1731.4581,275.3352
6,25,1794.0215,956.76166
6,4,1537.6252,338.4931
6,5,1844.7593,491.12125
6,9,329.3869,155.88391
6,28,130.73756,775.1112
6,7,640.2395,242.60907
6,2,832.344,286.0098
7,22,1736.1663,283.8617
7,4,1531.0912,336.79282
7,5,1849.599,497.0348
7,6,434.94577,1012.9551
8,22,1733.105,286.97083
8,4,1531.0095,328.09003
8,5,1853.9285,510.3616
8,2,822.1554,290.9665
9,5,1853.2322,506.5448
9,40,1145.4048,80.503525
9,45,1277.4812,644.1892
9,11,1709.3186,192.05771
9,3,1746.3538,455.43573
9,1,1643.7319,828.626
9,14,937.7463,104.528984
9,25,1835.4309,972.1052
10,5,1851.4668,498.45685
10,40,1137.7927,79.09963
10,48,1512.841,135.4813
10,11,1708.9755,201.41924
10,1,1628.1322,817.342
10,14,932.3628,89.01095
10,6,438.3059,1008.1284
10,2,819.919,296.23868
11,40,1133.3046,94.17276
11,48,1507.9116,134.13477
11,11,1707.6978,207.41396
11,1,1651.5908,812.4602
11,14,933.7295,84.72548
11,50,977.6251,68.84758
11,52,1325.4551,131.46948
11,6,444.36694,1007.3799
11,2,821.60767,290.66718
12,48,1506.8005,133.03143
12,11,1712.1389,206.30998
12,52,1321.1207,127.17482
12,2,819.2427,290.1009
12,45,1300.7141,645.1998
12,5,1848.7379,485.51865
13,2,819.6615,292.7376
13,59,1714.7614,599.0011
13,60,1793.2751,952.59875
13,5,1853.6477,487.51425
13,22,1728.7852,280.56128
13,4,1532.5698,330.59314
14,2,822.3865,292.67996
14,68,1136.0415,78.20159
14,22,1728.1152,277.82935
14,4,1534.427,331.186
14,7,649.36957,245.8227
14,3,1743.9417,445.68237
14,1,1668.5679,814.85486
14,50,970.64514,69.14227
15,2,821.36426,286.48825
15,22,1729.1852,277.84158
15,4,1534.799,328.7695
15,77,1630.1521,656.9746
15,3,1748.3622,452.797
15,1,1671.0742,818.2721
16,2,823.412,287.6203
16,22,1731.8411,277.77667
16,4,1535.7842,318.1029
16,77,1598.9241,645.57666
16,1,1642.8729,804.47003
16,5,1854.3579,491.3814
16,68,1132.5498,78.51998
16,50,976.09174,68.11395
17,2,839.06384,303.5009
17,22,1733.7617,278.80896
17,4,1532.9895,323.0094
17,77,1587.2977,650.30225
17,1,1641.9158,806.69714
17,87,1877.9382,952.15784
17,5,1853.3407,486.78485
17,7,650.3485,243.86331
18,2,841.05273,301.3472
18,5,1856.3042,478.57684
18,94,1518.2737,1032.4155
18,11,1715.3457,202.31924
18,59,1711.5933,595.2044
19,5,1853.467,481.5898
19,98,862.5214,1043.2089
19,11,1716.5327,193.21239
19,59,1712.4547,611.4871
20,98,862.4927,1044.7876
20,11,1717.2361,236.19656
20,1,1664.9194,813.06116
20,7,627.4603,241.30133
20,2,846.0902,297.43137
21,11,1709.1918,213.1901
21,104,362.96924,151.51189
21,2,845.7167,298.09012
21,60,1772.4663,912.55206
21,5,1852.9988,492.90903
21,59,1707.6761,604.9255
22,11,1708.5059,206.56496
22,104,363.45624,152.4827
22,2,839.4219,300.84113
22,107,1704.8257,771.5442
22,60,1771.012,910.3187
22,5,1851.5579,495.41592
22,59,1704.8293,606.32806
23,11,1697.5273,195.10341
23,104,363.57233,152.29347
23,2,838.6615,300.7008
23,60,1764.9133,892.50476
23,5,1854.5934,478.8321
23,112,1509.5898,95.865486
23,77,1589.0557,576.01276
23,98,855.68854,1039.9404
23,1,1660.5771,797.8159
24,11,1702.9385,196.50732
24,5,1854.1228,463.3753
24,98,856.0305,1038.3572
24,10,978.49365,110.259705
24,68,1090.64,76.356895
24,107,1705.8965,762.7938
24,59,1704.1022,607.3656
25,11,1711.7515,245.80457
25,68,1084.502,81.017975
25,59,1712.1489,661.03613
25,4,1528.9592,323.43585
25,7,635.95325,251.20508
25,2,826.6258,291.867
25,1,1595.5391,798.2085
26,11,1701.3018,256.84552
26,68,1086.7479,84.04384
26,4,1519.7262,321.86636
26,1,1584.7607,799.48224
26,14,738.8512,104.103264
26,104,367.9532,174.25244
26,98,856.574,1038.2216
27,4,1517.127,331.53778
27,104,362.77716,182.89075
27,8,1797.7773,85.84333
28,104,359.31958,190.20987
28,50,907.54626,112.05144
28,60,1738.492,850.3915
28,11,1681.5421,196.26822
28,68,1112.7476,83.27552
28,98,856.7262,1035.765
29,104,365.70447,189.63678
29,50,902.2875,113.06835
29,60,1763.8159,889.3413
29,11,1694.4629,257.96744
29,68,1119.5515,84.75965
29,5,1842.022,441.6526
29,4,1519.0796,346.53683
30,104,360.35065,188.754
30,60,1778.438,899.98
30,5,1843.2349,444.03854
30,4,1522.9609,344.08032
30,7,632.10547,256.59518
30,2,824.23303,299.08386
31,104,358.71497,187.62093
31,60,1776.6656,886.71313
31,5,1844.0785,462.30038
31,4,1518.885,338.30853
31,14,664.0947,97.00323
31,50,905.86914,111.77488
31,68,1121.5582,79.89291
32,104,360.2844,184.81955
32,60,1774.7034,877.7847
32,5,1843.494,459.4104
32,4,1517.7266,334.1712
32,148,370.44385,1011.1013
32,155,1842.3967,204.23282
32,14,657.0994,99.704735
32,50,906.68555,101.811386
32,68,1124.2761,82.088036
33,104,358.30115,183.94055
33,60,1769.9575,847.7815
33,5,1845.0854,452.82785
33,4,1520.8772,336.59937
33,14,651.7643,96.45868
33,50,906.5099,100.83685
33,68,1123.918,80.249016
34,104,346.6444,187.77454
34,60,1793.7607,889.5809
34,5,1845.3025,463.24826
34,4,1520.2317,341.967
34,14,649.7145,96.43212
34,50,906.33936,104.734215
34,68,1126.9641,82.60977
35,104,353.30197,187.46985
35,60,1808.727,928.91846
35,5,1848.008,457.2003
35,14,650.2119,97.147606
35,50,905.02686,98.90134
35,68,1124.4498,81.450966
35,11,1678.4514,183.4454
36,104,351.94067,183.4609
36,5,1846.2114,443.035
36,50,907.5797,97.21563
36,68,1122.5225,75.907555
36,11,1695.2239,226.81824
36,4,1514.1506,323.0469
37,104,364.7201,186.56479
37,5,1847.0593,439.43005
37,50,910.62933,100.651276
37,68,1123.3314,72.436195
37,183,1672.4122,822.79736
37,184,1725.0876,415.72913
37,1,1585.6854,824.4875
37,60,1779.8575,955.32806
38,104,365.91034,174.83453
38,68,1105.5172,72.0745
38,184,1726.4958,419.94006
38,190,1718.5933,173.82098
38,191,1284.7661,626.71045
38,60,1775.3511,956.61884
39,104,364.53152,169.89322
39,68,1099.0073,69.40004
39,190,1721.1685,186.81445
39,191,1280.6375,627.7446
39,60,1790.9656,958.44006
39,198,1579.113,699.64075
39,199,302.2139,1040.2815
39,59,1714.6279,595.3153
39,7,625.9379,247.95105
39,2,821.32587,284.66742
39,5,1844.9712,446.69836
40,104,365.54904,177.78839
40,68,1115.0363,70.97576
40,190,1709.3578,241.72137
